Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Caves of Ulund (M)	LidlessEye	CavesofUlund2	Minion Site	{R}																Withered Heath	{d}{w}{w}{w}	2	2	F2	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major, greater, gold ring). Automatic-attacks: Dragon - 1 strike with 13 prowess.
Cirith Gorgor (M)	LidlessEye	CirithGorgor2	Minion Site	{D}																Udun	{s}{d}{d}	2	1	U	Nearest Darkhaven: Minas Morgul.
Cirith Ungol (M)	LidlessEye	CirithUngol2	Minion Site	{D}																Imlad Morgul	{s}	1	1	U	Nearest Darkhaven: Minas Morgul.
Dale (M)	LidlessEye	Dale2	Minion Site	{B}																Northern Rhovanion	{d}{w}{w}	2	2	F2	Nearest Darkhaven: Dol Guldur. Playable: Items (gold ring). Automatic-attacks: Men - each character faces 1 strike with 5 prowess (detainment against covert company). Special: Port-on-Celduin
Dead Marshes (M)	LidlessEye	DeadMarshes2	Minion Site	{S}																Dagorlad	{d}{s}	1	1	U	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major). Automatic-attacks: Undead - 2 strikes with 8 prowess; each character wounded must make a corruption check modified by -2. Special: Swamp. Non-Nazgul creatures played at this site attack normally, not
Dimrill Dale (M)	LidlessEye	DimrillDale2	Minion Site	{R}																Redhorn Gate	{d}{s}{w}{w}	2	2	U	Nearest Darkhaven: Dol Guldur. Playable: Information. Automatic-attacks: Orcs - 1 strike with 6 prowess.
Dol Amroth (M)	LidlessEye	DolAmroth2	Minion Site	{F}																Belfalas	{s}{w}{f}{f}{f}	2	4	R	Nearest Darkhaven: Minas Morgul. Playable: Information, Items (minor, major, gold ring). Automatic-attacks: (1st) Men - each character faces 1 strike with 8 prowess (detainment against covert company); (2nd) Dunedain - 3 strikes with 10 prowess (against o Special: Port
Dol Guldur (M)	LidlessEye	DolGuldur2	Minion Site	{H}																Southern Mirkwood		2	2	CB+F5	Site Path From Minas Morgul: {s}{d}{d}{s}{d}. Site Path From Carn Dum: {s}{d}{s}{d}. Special: Any Gold Ring stored at this site is automatically tested (modify the roll by -2). Any attack against a minion company at this site is canceled. Dwarf-ruin.
Druadan Forest (M)	LidlessEye	DruadanForest2	Minion Site	{B}																Anorien	{s}{w}{f}	2	2	U	Nearest Darkhaven: Minas Morgul. Automatic-attacks: Men - 3 strikes with 6 prowess.
Dunharrow (M)	LidlessEye	Dunharrow2	Minion Site	{B}																Rohan	{s}{w}{f}{s}	2	2	U	Nearest Darkhaven: Minas Morgul. Playable: Information. Automatic-attacks: Men - each character faces 1 strike with 6 prowess (detainment against covert company).
Dunnish Clan-hold (M)	LidlessEye	DunnishClanhold2	Minion Site	{B}																Dunland	{s}{w}{w}{w}	2	2	U	Nearest Darkhaven: Carn Dum. Playable: Items (minor, major*) *-weapon, armor, shield, or helmet only. Automatic-attacks: Men - each character faces 1 strike with 7 prowess (detainment against covert company).
Easterling Camp (M)	LidlessEye	EasterlingCamp2	Minion Site	{B}																Horse Plains	{d}{w}{s}	2	2	F1	Nearest Darkhaven: Dol Guldur. Automatic-attacks: Men - each character faces 1 strike with 5 prowess (detainment against covert company).
Edoras (M)	LidlessEye	Edoras2	Minion Site	{F}																Rohan	{s}{w}{f}{s}	2	3	U	Nearest Darkhaven: Minas Morgul. Playable: Items (gold ring). Automatic-attacks: Men - each character faces 1 strike with 10 prowess (detainment against covert company).
Ettenmoors (M)	LidlessEye	Ettenmoors2	Minion Site	{R}																Rhudaur	{s}{w}	1	1	F5	Nearest Darkhaven: Carn Dum. Playable: Items (minor). Automatic-attacks: (1st) Troll - 1 strike with 9 prowess; (2nd) Wolves - 2 strikes with 8 prowess.
Geann a-Lisch (M)	LidlessEye	GeannaLisch2	Minion Site	{H}																Old Pukel-land		2	2	CB+F5	Site Path From Carn Dum: {s}{w}{w}{w}{w}. Special: No character may be brought into play at this site (unless this site is the character's home site). Resources may never be stored at this site. Geann a-Lisch counts as a Ruins & Lairs [{R}] for the purpos
Gladden Fields (M)	LidlessEye	GladdenFields2	Minion Site	{R}																Anduin Vales	{d}{s}	1	1	U	Nearest Darkhaven: Dol Guldur. Playable: Items (gold ring). Automatic-attacks: Undead - 1 strike with 8 prowess; each character wounded must make a corruption check modified by -2. Special: Swamp
Glittering Caves (M)	LidlessEye	GlitteringCaves2	Minion Site	{R}																Gap of Isen	{w}{s}	1	1	U	Nearest Darkhaven: Geann a-Lisch. Playback: Items (minor, major). Automatic-attacks: Pukel-creature - 1 strike with 9 prowess.
Gobel Mirlond (M)	LidlessEye	GobelMirlond2	Minion Site	{B}																Harondor	{s}{w}{w}	2	2	U	Nearest Darkhaven: Minas Morgul. Playable: Items (minor, major*) *-weapon, armor, shield, or helmet only. Automatic-attacks: Men - each character faces 1 strike with 8 prowess (detainment against covert company). Special: Port
Goblin-gate (M)	LidlessEye	Goblingate2	Minion Site	{S}																High Pass	{w}{w}	2	2	F1	Nearest Darkhaven: Carn Dum. Playable: Items (minor, gold ring). Automatic-attacks: Orcs - 3 strikes with 6 prowess. Special: Non-Nazgul creatures played at this site attack normally, not as detainment.
Gondmaeglom (M)	LidlessEye	Gondmaeglom2	Minion Site	{R}																Grey Mountain Narrows	{d}{w}{w}{s}	2	2	F1	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major, gold ring). Automatic-attacks: Dragon - 1 strike with 14 prowess. Special: Dwarf-ruin.
Haudh-in-Gwanur (M)	LidlessEye	HaudhinGwanur2	Minion Site	{R}																Harondor	{s}{w}{w}	2	2	F1	Nearest Darkhaven: Minas Morgul. Playable: Items (minor). Automatic-attacks: Undead - 1 strike with 10 prowess; each character wounded must make a corruption check modified by -2.
Henneth Annun (M)	LidlessEye	HennethAnnun2	Minion Site	{B}																Ithilien	{s}{w}	1	1	U	Nearest Darkhaven: Minas Morgul. Automatic-attacks: Dunedain - each character faces 1 strike with 7 prowess (detainment against covert company).
Hermit's Hill (M)	LidlessEye	HermitsHill2	Minion Site	{R}																Wold & Foothills	{d}{s}{w}	1	1	U	Nearest Darkhaven: Dol Guldur. Playable: Items (minor). Automatic-attacks: Men - 3 strikes with 6 prowess. Special: During the site phase, a covert company may discard two minor items they bear to make any one gold ring item (regardless of its text restri
Iron Hill Dwarf-hold (M)	LidlessEye	IronHillDwarfhold2	Minion Site	{F}																Iron Hills	{d}{w}{w}{w}	2	2	R	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major, greater, gold ring). Automatic-attacks: Dwarves - 4 strikes with 10 prowess.
Isengard (M)	LidlessEye	Isengard2	Minion Site	{R}																Gap of Isen	{w}{s}	1	2	U	Nearest Darkhaven: Geann a-Lisch. Playable: Information, Items (minor, major, gold ring). Automatic-attacks: Wolves - 3 strikes with 7 prowess.
Lake-town (M)	LidlessEye	Laketown2	Minion Site	{B}																Northern Rhovanion	{d}{w}{w}	2	2	U	Nearest Darkhaven: Dol Guldur. Playable: Information. Automatic-attacks: Men - each character faces 1 strike with 6 prowess (detainment against covert company). Special: Port-on-Celduin
Lond Galen (M)	LidlessEye	LondGalen2	Minion Site	{B}																Anfalas	{w}{w}{w}	2	2	U	Nearest Darkhaven: Geann a-Lisch. Playable: Items (gold ring). Automatic-attacks: Men - each character faces 1 strike with 6 prowess (detainment against covert company). Special: Port
Lossadan Cairn (M)	LidlessEye	LossadanCairn2	Minion Site	{R}																Forochel	{s}{w}	1	1	U	Nearest Darkhaven: Carn Dum. Playable: Items (minor, major, greater*) *-Palantiri only. Automatic-attacks: Undead - 2 strikes with 8 prowess; each character wounded must make a corruption check modified by -2.
Lossadan Camp (M)	LidlessEye	LossadanCamp2	Minion Site	{B}																Forochel	{s}{w}	1	1	U	Nearest Darkhaven: Carn Dum. Playable: Items (gold ring). Automatic-attacks: Men - each character faces 1 strike with 5 prowess (detainment against covert company).
Minas Morgul (M)	LidlessEye	MinasMorgul2	Minion Site	{H}																Imlad Morgul		2	2	CB+F5	Site Path From Dol Guldur: {d}{s}{d}{d}{s}. Special: Any Gold Ring stored at this site is automatically tested (modify the roll by -2). Any attack against a minion company at this site is canceled.
Minas Tirith (M)	LidlessEye	MinasTirith2	Minion Site	{F}																Anorien	{s}{w}{f}	1	3	F3	Nearest Darkhaven: Minas Morgul. Playable: Information, Items (minor, major, gold ring). Automatic-attacks: (1st) Men - each character faces 1 strike with 9 prowess (detainment against covert company); (2nd) Dunedain - 4 strikes with 10 prowess (against o Special: Port-on-Anduin
Moria (M)	LidlessEye	Moria2	Minion Site	{S}																Redhorn Gate	{d}{s}{w}{w}	2	3	F2	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major, greater, gold ring). Automatic-attacks: Orcs - 4 strikes with 7 prowess. Special: Non-Nazgul creatures played at this site attack normally, not as detainment. Special: Dwarf-ruin.
Mount Doom (M)	LidlessEye	MountDoom2	Minion Site	{S}																Gorgoroth	{s}{d}	2	1	U	Nearest Darkhaven: Minas Morgul. Playable: Information. Automatic-attacks: Orcs - 1 strike with 6 prowess. Special: Any sage may tap to test a ring at this site, modifying the result by -3.
Mount Gram (M)	LidlessEye	MountGram2	Minion Site	{S}																Angmar	{s}	1	1	U	Nearest Darkhaven: Carn Dum. Special: Dwarf-ruin.
Mount Gundabad (M)	LidlessEye	MountGundabad2	Minion Site	{S}																Gundabad	{s}{d}	2	1	F1	Nearest Darkhaven: Carn Dum. Playable: Items (minor, major). Automatic-attacks: Orcs - each character faces 1 strike with 7 prowess (detainment against overt company). Special: Dwarf-ruin.
Nurniag Camp (M)	LidlessEye	NurniagCamp2	Minion Site	{S}																Nurn	{s}{d}{d}	1	1	U	Nearest Darkhaven: Minas Morgul.
Ost-in-Edhil (M)	LidlessEye	OstinEdhil2	Minion Site	{R}																Hollin	{s}{w}{w}	2	2	U	Nearest Darkhaven: Carn Dum. Playable: Items (minor, gold ring). Automatic-attacks: Wolves - 3 strikes with 5 prowess.
Pelargir (M)	LidlessEye	Pelargir2	Minion Site	{F}																Lebennin	{s}{w}{f}{f}	2	3	U	Nearest Darkhaven: Minas Morgul. Playable: Items (minor, major, gold ring). Automatic-attacks: (1st) Men - each character faces 1 strike with 7 prowess (detainment against covert company); (2nd) Dunedain - 3 strikes with 10 prowess (against overt company  Special: Port, Port-on-Anduin
Raider-hold (M)	LidlessEye	Raiderhold2	Minion Site	{B}																Horse Plains	{d}{w}{s}	2	2	U	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major*) *-weapon, armor, shield, or helmet only. Automatic-attacks: Men - each character faces 1 strike with 7 prowess (detainment against covert company).
Ruined Signal Tower (M)	LidlessEye	RuinedSignalTower2	Minion Site	{R}																Enedhwaith	{w}{w}	1	1	U	Nearest Darkhaven: Geann a-Lisch. Playable: Items (minor, major). Automatic-attacks: Spiders - 2 strikes with 8 prowess.
Sarn Goriwing (M)	LidlessEye	SarnGoriwing2	Minion Site	{S}																Heart of Mirkwood	{d}{w}	1	1	F1	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major). Automatic-attacks: Orcs - 3 strikes with 5 prowess.
Shelob's Lair (M)	LidlessEye	ShelobsLair2	Minion Site	{S}																Imlad Morgul	{s}	1	1	U	Nearest Darkhaven: Minas Morgul. Playable: Items (minor, major). Automatic-attacks: (1st) Orcs - 2 strikes with 8 prowess; (2nd) Spider (cannot be canceled) - 1 strike with 16 prowess; any character wounded is immediately eliminated. Special: Contains a h
Shrel-Kain (M)	LidlessEye	ShrelKain2	Minion Site	{B}																Dorwinion	{d}{w}{s}	1	2	F1	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major*) *-weapon, armor, shield, or helmet only. Automatic-attacks: Men - each character faces 1 strike with 8 prowess (detainment against covert company). Special: Port-on-Celduin
Southron Oasis (M)	LidlessEye	SouthronOasis2	Minion Site	{B}																Harondor	{s}{w}{w}	2	2	F1	Nearest Darkhaven: Minas Morgul. Automatic-attacks: Men - each character faces 1 strike with 5 prowess (detainment against covert company).
Stone-circle (M)	LidlessEye	Stonecircle2	Minion Site	{R}																Old Pukel Gap	{w}{w}	1	1	U	Nearest Darkhaven: Geann a-Lisch. Playable: Information, Items (minor). Automatic-attacks: Pukel-creature - 1 strike with 9 prowess.
Tharbad (M)	LidlessEye	Tharbad2	Minion Site	{R}																Cardolan	{s}{w}{w}	2	2	U	Nearest Darkhaven: Carn Dum. Playable: Items (minor). Automatic-attacks: Men - 3 strikes with 6 prowess. Special: Port. Swamp. Items may be played at this site even if it is tapped.
The Lonely (M) Mountain	LidlessEye	TheLonelyMountain2	Minion Site	{R}																Northern Rhovanion	{d}{w}{w}	2	2	F2	Nearest Darkhaven: Dol Guldur. Playable: Items (minor, major, greater, gold ring). Automatic-attacks: Dragon - 1 strike with 14 prowess. Special: Dwarf-ruin.
The Stones (M)	LidlessEye	TheStones2	Minion Site	{R}																Andrast	{w}{w}	1	1	R	Nearest Darkhaven: Geann a-Lisch. Playable: Items (minor, major, greater). Automatic-attacks: Pukel-creatures - 2 strikes with 9 prowess.
The White Towers (M)	LidlessEye	TheWhiteTowers2	Minion Site	{R}																Arthedain	{s}{w}	2	2	U	Nearest Darkhaven: Carn Dum. Playable: Information. Automatic-attacks: Wolves - 2 strikes with 6 prowess.
The Wind Throne (M)	LidlessEye	TheWindThrone2	Minion Site	{R}																Grey Mountain Narrows	{d}{w}{w}{s}	2	2	F1	Nearest Darkhaven: Dol Guldur. Playable: Information, Items (minor, major). Automatic-attacks: Orcs - 3 strikes with 7 prowess.
The Worthy Hills (M)	LidlessEye	TheWorthyHills2	Minion Site	{R}																Cardolan	{s}{w}{w}	1	2	R	Nearest Darkhaven: Carn Dum. Playable: Information. Automatic-attacks: Men - each character faces 1 strike with 9 prowess (detainment against covert company). Special: This site never taps.
Thranduil's Halls (M)	LidlessEye	ThranduilsHalls2	Minion Site	{F}																Woodland Realm	{d}{w}{s}	1	2	F2	Nearest Darkhaven: Dol Guldur. Playable: Information, Items (minor, major, gold ring). Automatic-attacks: (1st) Elves - each character faces 1 strike with 9 prowess (detainment against covert company); (2nd) Elves - 3 strikes with 10 prowess (against over
Urlurtsu Nurn (M)	LidlessEye	UrlurtsuNurn2	Minion Site	{D}																Nurn	{s}{d}{d}	1	1	R	Nearest Darkhaven: Minas Morgul. Special: If your Ringwraith is at this site, he may tap during the organization phase to bring one Orc or Troll character from your discard pile into play at this site (as another company). The character must move to a dif
Vale of Erech (M)	LidlessEye	ValeofErech2	Minion Site	{B}																Lamedon	{s}{w}{f}{f}{s}	2	3	F3	Nearest Darkhaven: Minas Morgul. Playable: Items (gold ring). Automatic-attacks: Men - each character faces 1 strike with 7 prowess (detainment against covert company).
Variag Camp (M)	LidlessEye	VariagCamp2	Minion Site	{B}																Khand	{s}{w}{w}{s}	2	2	F1	Nearest Darkhaven: Minas Morgul. Automatic-attacks: Men - each character faces 1 strike with 5 prowess (detainment against covert company).
Woodmen-town (M)	LidlessEye	Woodmentown2	Minion Site	{B}																Western Mirkwood	{d}{w}	1	1	F1	Nearest Darkhaven: Dol Guldur. Automatic-attacks: Men - each character faces 1 strike with 6 prowess (detainment against covert company).
Wose Passage-hold (M)	LidlessEye	WosePassagehold2	Minion Site	{B}																Old Pukel-land	{w}	1	1	U	Nearest Darkhaven: Geann a-Lisch. Automatic-attacks: Men - 3 strikes with 5 prowess.
Zarak Dum (M)	LidlessEye	ZarakDum2	Minion Site	{R}																Angmar	{s}	1	1	F1	Nearest Darkhaven: Carn Dum. Playable: Items (minor, major). Automatic-attacks: Dragon - 1 strike with 11 prowess. Special: Dwarf-ruin.
